flight_id,op_type,flight_number,operation_type,scheduled_time,aircraft_type_icao,aircraft_type_iata,airline_iata,origin_icao,destination_icao,predicted_passengers,gate,baggage_belt,flight_type_iata
20260330T040500Z_AY1431_D_EFHK,D,AY1431,departure,2026-03-30T07:05:00.000+03:00,A321,321,AY,EFHK,EDDB,132,,,J
20260330T040500Z_AY1781_D_EFHK,D,AY1781,departure,2026-03-30T07:05:00.000+03:00,A320,320,AY,EFHK,LIPZ,113,,,J
20260330T040500Z_AY361_D_EFHK,D,AY361,departure,2026-03-30T07:05:00.000+03:00,AT75,,AY,EFHK,EFKU,41,,,J
20260330T040500Z_AY601_D_EFHK,D,AY601,departure,2026-03-30T07:05:00.000+03:00,A321,321,AY,EFHK,EFIV,123,,,J
20260330T041000Z_AY1161_D_EFHK,D,AY1161,departure,2026-03-30T07:10:00.000+03:00,A320,320,AY,EFHK,EPKK,111,,,J
20260330T041000Z_AY991_D_EFHK,D,AY991,departure,2026-03-30T07:10:00.000+03:00,B738,738,AY,EFHK,BIKF,0,,,J
20260330T041500Z_AY513_D_EFHK,D,AY513,departure,2026-03-30T07:15:00.000+03:00,AT75,,AY,EFHK,EFKE,37,,,J
20260330T041500Z_AY803_D_EFHK,D,AY803,departure,2026-03-30T07:15:00.000+03:00,E190,E90,AY,EFHK,ESSA,73,,,J
20260330T041500Z_AY861_D_EFHK,D,AY861,departure,2026-03-30T07:15:00.000+03:00,E190,E90,AY,EFHK,ESGG,73,,,J
20260330T041500Z_SK701_D_EFHK,D,SK701,departure,2026-03-30T07:15:00.000+03:00,CRJ9,CR9,SK,EFHK,ESSA,64,,,J
20260330T042000Z_AY1761_D_EFHK,D,AY1761,departure,2026-03-30T07:20:00.000+03:00,A321,321,AY,EFHK,LIRF,140,,,J
20260330T042000Z_AY1791_D_EFHK,D,AY1791,departure,2026-03-30T07:20:00.000+03:00,A319,319,AY,EFHK,LIRN,86,,,J
20260330T042000Z_AY947_D_EFHK,D,AY947,departure,2026-03-30T07:20:00.000+03:00,AT75,,AY,EFHK,ENVA,44,,,J
20260330T042500Z_AY541_D_EFHK,D,AY541,departure,2026-03-30T07:25:00.000+03:00,AT75,,AY,EFHK,EFRO,41,,,J
20260330T042500Z_AY911_D_EFHK,D,AY911,departure,2026-03-30T07:25:00.000+03:00,B738,738,AY,EFHK,ENGM,0,,,J
20260330T042500Z_AY953_D_EFHK,D,AY953,departure,2026-03-30T07:25:00.000+03:00,A321,321,AY,EFHK,EKCH,135,,,J
20260330T043000Z_AY1141_D_EFHK,D,AY1141,departure,2026-03-30T07:30:00.000+03:00,A321,321,AY,EFHK,EPWA,132,,,J
20260330T043000Z_AY1751_D_EFHK,D,AY1751,departure,2026-03-30T07:30:00.000+03:00,A321,321,AY,EFHK,LIMC,132,,,J
20260330T043500Z_3U9611_D_EFHK,D,3U9611,departure,2026-03-30T07:35:00.000+03:00,A332,332,3U,EFHK,EDDF,,,,X
20260330T043500Z_AY1571_D_EFHK,D,AY1571,departure,2026-03-30T07:35:00.000+03:00,A321,321,AY,EFHK,LFPG,133,,,J
20260330T044000Z_AY1101_D_EFHK,D,AY1101,departure,2026-03-30T07:40:00.000+03:00,AT75,,AY,EFHK,EYVI,44,,,J
20260330T044000Z_AY1411_D_EFHK,D,AY1411,departure,2026-03-30T07:40:00.000+03:00,B738,738,AY,EFHK,EDDF,0,,,J
20260330T044000Z_AY1541_D_EFHK,D,AY1541,departure,2026-03-30T07:40:00.000+03:00,A319,319,AY,EFHK,EBBR,104,,,J
20260330T044000Z_AY823_D_EFHK,D,AY823,departure,2026-03-30T07:40:00.000+03:00,A320,320,AY,EFHK,ESSA,84,,,J
20260330T044500Z_AY1381_D_EFHK,D,AY1381,departure,2026-03-30T07:45:00.000+03:00,A320,320,AY,EFHK,EIDW,113,,,J
20260330T045000Z_ABF004_A_EFHK,A,ABF004,arrival,2026-03-30T07:50:00.000+03:00,E55P,,,EETN,EFHK,,,,D
20260330T045500Z_AY1511_D_EFHK,D,AY1511,departure,2026-03-30T07:55:00.000+03:00,A320,320,AY,EFHK,LSZH,107,,,J
20260330T045500Z_AY1721_D_EFHK,D,AY1721,departure,2026-03-30T07:55:00.000+03:00,A359,359,AY,EFHK,GCLP,259,,,J
20260330T045500Z_RP650_A_EFHK,A,RP650,arrival,2026-03-30T07:55:00.000+03:00,E120,EM2,RP,EFSA,EFHK,11,,12,J
20260330T050000Z_AY1331_D_EFHK,D,AY1331,departure,2026-03-30T08:00:00.000+03:00,A359,359,AY,EFHK,EGLL,236,,,J
20260330T050000Z_AY1401_D_EFHK,D,AY1401,departure,2026-03-30T08:00:00.000+03:00,A321,321,AY,EFHK,EDDM,130,,,J
20260330T050000Z_AY1531_D_EFHK,D,AY1531,departure,2026-03-30T08:00:00.000+03:00,E190,E90,AY,EFHK,LSGG,71,,,J
20260330T050000Z_DK1308_D_EFHK,D,DK1308,departure,2026-03-30T08:00:00.000+03:00,A21N,32Q,DK,EFHK,LPMA,169,,,C
20260330T050500Z_AY805_D_EFHK,D,AY805,departure,2026-03-30T08:05:00.000+03:00,A319,319,AY,EFHK,ESSA,92,,,J
20260330T050500Z_D82766_D_EFHK,D,D82766,departure,2026-03-30T08:05:00.000+03:00,B38M,7M8,D8,EFHK,EGKK,136,,,J
20260330T050500Z_RP691_D_EFHK,D,RP691,departure,2026-03-30T08:05:00.000+03:00,E120,EM2,RP,EFHK,EFPO,11,,,J
20260330T051000Z_AY1301_D_EFHK,D,AY1301,departure,2026-03-30T08:10:00.000+03:00,A359,359,AY,EFHK,EHAM,261,,,J
20260330T052000Z_AY1361_D_EFHK,D,AY1361,departure,2026-03-30T08:20:00.000+03:00,A320,320,AY,EFHK,EGCC,114,,,J
20260330T052000Z_AY826_A_EFHK,A,AY826,arrival,2026-03-30T08:20:00.000+03:00,E190,E90,AY,ESSA,EFHK,61,,12,J
20260330T052000Z_BT301_A_EFHK,A,BT301,arrival,2026-03-30T08:20:00.000+03:00,BCS3,CS3,BT,EVRA,EFHK,72,,12,J
20260330T052000Z_TK1268_D_EFHK,D,TK1268,departure,2026-03-30T08:20:00.000+03:00,B738,738,TK,EFHK,LTFM,0,,,J
20260330T052500Z_AY1012_A_EFHK,A,AY1012,arrival,2026-03-30T08:25:00.000+03:00,AT75,,AY,EETN,EFHK,35,,11,J
20260330T053000Z_AY1691_D_EFHK,D,AY1691,departure,2026-03-30T08:30:00.000+03:00,A321,321,AY,EFHK,GCTS,157,,,J
20260330T053000Z_D82604_D_EFHK,D,D82604,departure,2026-03-30T08:30:00.000+03:00,B38M,7M8,D8,EFHK,ESSA,123,,,J
20260330T054000Z_AY448_A_EFHK,A,AY448,arrival,2026-03-30T08:40:00.000+03:00,A320,320,AY,EFOU,EFHK,106,,2,J
20260330T054000Z_AY489_D_EFHK,D,AY489,departure,2026-03-30T08:40:00.000+03:00,AT75,,AY,EFHK,EFKS,44,,,J
20260330T055500Z_AY1073_D_EFHK,D,AY1073,departure,2026-03-30T08:55:00.000+03:00,AT75,,AY,EFHK,EVRA,43,,,J
20260330T055500Z_AY434_A_EFHK,A,AY434,arrival,2026-03-30T08:55:00.000+03:00,A320,320,AY,EFOU,EFHK,112,,3,J
20260330T060000Z_BT302_D_EFHK,D,BT302,departure,2026-03-30T09:00:00.000+03:00,BCS3,CS3,BT,EFHK,EVRA,89,,,J
20260330T060500Z_AEG7004_D_EFHK,D,AEG7004,departure,2026-03-30T09:05:00.000+03:00,SF34,SF3,,EFHK,EETN,,,,F
20260330T060500Z_AY1393_D_EFHK,D,AY1393,departure,2026-03-30T09:05:00.000+03:00,E190,E90,AY,EFHK,EDDL,72,,,J
20260330T061500Z_AY964_A_EFHK,A,AY964,arrival,2026-03-30T09:15:00.000+03:00,E190,E90,AY,EKCH,EFHK,63,,12,J
20260330T061500Z_FR9857_A_EFHK,A,FR9857,arrival,2026-03-30T09:15:00.000+03:00,A320,320,FR,LOWW,EFHK,97,,2,J
20260330T062500Z_AY1471_D_EFHK,D,AY1471,departure,2026-03-30T09:25:00.000+03:00,A320,320,AY,EFHK,LOWW,117,,,J
20260330T062500Z_AY802_A_EFHK,A,AY802,arrival,2026-03-30T09:25:00.000+03:00,A321,321,AY,ESSA,EFHK,111,,2,J
20260330T063000Z_AY362_A_EFHK,A,AY362,arrival,2026-03-30T09:30:00.000+03:00,AT75,,AY,EFKU,EFHK,38,,12,J
20260330T064000Z_AY1223_D_EFHK,D,AY1223,departure,2026-03-30T09:40:00.000+03:00,A320,320,AY,EFHK,LKPR,120,,,J
20260330T064500Z_AY1072_A_EFHK,A,AY1072,arrival,2026-03-30T09:45:00.000+03:00,AT75,,AY,EVRA,EFHK,35,,12,J
20260330T064500Z_FR9856_D_EFHK,D,FR9856,departure,2026-03-30T09:45:00.000+03:00,A320,320,FR,EFHK,LOWW,113,,,J
20260330T070000Z_AY1013_D_EFHK,D,AY1013,departure,2026-03-30T10:00:00.000+03:00,AT75,,AY,EFHK,EETN,45,,,J
20260330T070000Z_AY1251_D_EFHK,D,AY1251,departure,2026-03-30T10:00:00.000+03:00,E190,E90,AY,EFHK,LHBP,73,,,J
20260330T070000Z_AY1550_A_EFHK,A,AY1550,arrival,2026-03-30T10:00:00.000+03:00,E190,E90,AY,EBBR,EFHK,64,,11,J
20260330T070000Z_AY804_A_EFHK,A,AY804,arrival,2026-03-30T10:00:00.000+03:00,E190,E90,AY,ESSA,EFHK,62,,12,J
20260330T070000Z_GN014_A_EFHK,A,GN014,arrival,2026-03-30T10:00:00.000+03:00,PC12,PL2,GN,EFSI,EFHK,,,,D
20260330T070500Z_AY591_D_EFHK,D,AY591,departure,2026-03-30T10:05:00.000+03:00,AT75,,AY,EFHK,EFKT,39,,,J
20260330T071000Z_AY807_D_EFHK,D,AY807,departure,2026-03-30T10:10:00.000+03:00,A321,321,AY,EFHK,ESSA,132,,,J
20260330T071500Z_AY532_A_EFHK,A,AY532,arrival,2026-03-30T10:15:00.000+03:00,A321,321,AY,EFRO,EFHK,135,,5,J
20260330T071500Z_AY952_A_EFHK,A,AY952,arrival,2026-03-30T10:15:00.000+03:00,A319,319,AY,EKCH,EFHK,77,,2,J
20260330T073500Z_AY1175_D_EFHK,D,AY1175,departure,2026-03-30T10:35:00.000+03:00,AT75,,AY,EFHK,EPGD,40,,,J
20260330T073500Z_SK1706_A_EFHK,A,SK1706,arrival,2026-03-30T10:35:00.000+03:00,A20N,32N,SK,EKCH,EFHK,101,,12,J
20260330T073500Z_SK702_A_EFHK,A,SK702,arrival,2026-03-30T10:35:00.000+03:00,AT76,,SK,ESSA,EFHK,36,,12,J
20260330T074500Z_AY1165_D_EFHK,D,AY1165,departure,2026-03-30T10:45:00.000+03:00,E190,E90,AY,EFHK,EPKK,72,,,J
20260330T074500Z_AY1423_D_EFHK,D,AY1423,departure,2026-03-30T10:45:00.000+03:00,E190,E90,AY,EFHK,EDDH,79,,,J
20260330T075000Z_AY514_A_EFHK,A,AY514,arrival,2026-03-30T10:50:00.000+03:00,AT75,,AY,EFKE,EFHK,37,,11,J
20260330T075000Z_AY602_A_EFHK,A,AY602,arrival,2026-03-30T10:50:00.000+03:00,A321,321,AY,EFIV,EFHK,118,,5,J
20260330T075000Z_AY862_A_EFHK,A,AY862,arrival,2026-03-30T10:50:00.000+03:00,E190,E90,AY,ESGG,EFHK,62,,10,J
20260330T075500Z_AY912_A_EFHK,A,AY912,arrival,2026-03-30T10:55:00.000+03:00,B738,738,AY,ENGM,EFHK,0,,12,J
20260330T080000Z_AY955_D_EFHK,D,AY955,departure,2026-03-30T11:00:00.000+03:00,A321,321,AY,EFHK,EKCH,131,,,J
20260330T080500Z_AY1582_A_EFHK,A,AY1582,arrival,2026-03-30T11:05:00.000+03:00,E190,E90,AY,LFPG,EFHK,60,,12,J
20260330T080500Z_FR2616_A_EFHK,A,FR2616,arrival,2026-03-30T11:05:00.000+03:00,B38M,7M8,FR,LEAL,EFHK,98,,4,J
20260330T080500Z_SK705_D_EFHK,D,SK705,departure,2026-03-30T11:05:00.000+03:00,AT76,,SK,EFHK,ESSA,43,,,J
20260330T081000Z_TK1761_A_EFHK,A,TK1761,arrival,2026-03-30T11:10:00.000+03:00,B39M,7M9,TK,LTFM,EFHK,97,,3,J
20260330T081500Z_D85420_A_EFHK,A,D85420,arrival,2026-03-30T11:15:00.000+03:00,B738,738,D8,LEAL,EFHK,0,,5,J
20260330T081500Z_SK1707_D_EFHK,D,SK1707,departure,2026-03-30T11:15:00.000+03:00,A20N,32N,SK,EFHK,EKCH,118,,,J
20260330T082000Z_AY1103_D_EFHK,D,AY1103,departure,2026-03-30T11:20:00.000+03:00,AT75,,AY,EFHK,EYVI,39,,,J
20260330T082000Z_AY954_A_EFHK,A,AY954,arrival,2026-03-30T11:20:00.000+03:00,A321,321,AY,EKCH,EFHK,108,,2,J
20260330T082500Z_AY1014_A_EFHK,A,AY1014,arrival,2026-03-30T11:25:00.000+03:00,AT75,,AY,EETN,EFHK,33,,12,J
20260330T082500Z_AY1422_A_EFHK,A,AY1422,arrival,2026-03-30T11:25:00.000+03:00,E190,E90,AY,EDDH,EFHK,59,,12,J
20260330T083000Z_AY1701_D_EFHK,D,AY1701,departure,2026-03-30T11:30:00.000+03:00,A321,321,AY,EFHK,GCFV,143,,,J
20260330T083500Z_AY1102_A_EFHK,A,AY1102,arrival,2026-03-30T11:35:00.000+03:00,AT75,,AY,EYVI,EFHK,33,,11,J
20260330T083500Z_AY1142_A_EFHK,A,AY1142,arrival,2026-03-30T11:35:00.000+03:00,A321,321,AY,EPWA,EFHK,108,,6,J
20260330T083500Z_AY1143_D_EFHK,D,AY1143,departure,2026-03-30T11:35:00.000+03:00,E190,E90,AY,EFHK,EPWA,71,,,J
20260330T083500Z_FR2344_A_EFHK,A,FR2344,arrival,2026-03-30T11:35:00.000+03:00,B738,738,FR,EGSS,EFHK,0,,5,J
20260330T084000Z_AY913_D_EFHK,D,AY913,departure,2026-03-30T11:40:00.000+03:00,A319,319,AY,EFHK,ENGM,86,,,J
20260330T084000Z_FR2617_D_EFHK,D,FR2617,departure,2026-03-30T11:40:00.000+03:00,B38M,7M8,FR,EFHK,LEAL,130,,,J
20260330T084500Z_AY1074_A_EFHK,A,AY1074,arrival,2026-03-30T11:45:00.000+03:00,AT75,,AY,EVRA,EFHK,33,,12,J
20260330T084500Z_AY1162_A_EFHK,A,AY1162,arrival,2026-03-30T11:45:00.000+03:00,A320,320,AY,EPKK,EFHK,91,,2,J
20260330T084500Z_AY1222_A_EFHK,A,AY1222,arrival,2026-03-30T11:45:00.000+03:00,E190,E90,AY,LKPR,EFHK,60,,12,J
20260330T084500Z_AY1432_A_EFHK,A,AY1432,arrival,2026-03-30T11:45:00.000+03:00,A321,321,AY,EDDB,EFHK,106,,3,J
20260330T084500Z_AY863_D_EFHK,D,AY863,departure,2026-03-30T11:45:00.000+03:00,E190,E90,AY,EFHK,ESGG,70,,,J
20260330T085500Z_AY1015_D_EFHK,D,AY1015,departure,2026-03-30T11:55:00.000+03:00,AT75,,AY,EFHK,EETN,44,,,J
20260330T085500Z_AY1731_D_EFHK,D,AY1731,departure,2026-03-30T11:55:00.000+03:00,A321,321,AY,EFHK,LPMA,136,,,J
20260330T085500Z_AY948_A_EFHK,A,AY948,arrival,2026-03-30T11:55:00.000+03:00,AT75,,AY,ENVA,EFHK,33,,11,J
20260330T085500Z_D85421_D_EFHK,D,D85421,departure,2026-03-30T11:55:00.000+03:00,B738,738,D8,EFHK,LEAL,0,,,J
20260330T090500Z_AY1433_D_EFHK,D,AY1433,departure,2026-03-30T12:05:00.000+03:00,A321,321,AY,EFHK,EDDB,132,,,J
20260330T090500Z_AY365_D_EFHK,D,AY365,departure,2026-03-30T12:05:00.000+03:00,AT75,,AY,EFHK,EFKU,41,,,J
20260330T090500Z_TK1762_D_EFHK,D,TK1762,departure,2026-03-30T12:05:00.000+03:00,B39M,7M9,TK,EFHK,LTFM,116,,,J
20260330T090500Z_VL2460_A_EFHK,A,VL2460,arrival,2026-03-30T12:05:00.000+03:00,A20N,32N,VL,EDDM,EFHK,95,,2,J
20260330T091500Z_AY1340_A_EFHK,A,AY1340,arrival,2026-03-30T12:15:00.000+03:00,A321,321,AY,EGLL,EFHK,115,,3,J
20260330T091500Z_AY1392_A_EFHK,A,AY1392,arrival,2026-03-30T12:15:00.000+03:00,E190,E90,AY,EDDL,EFHK,62,,12,J
20260330T091500Z_AY1575_D_EFHK,D,AY1575,departure,2026-03-30T12:15:00.000+03:00,E190,E90,AY,EFHK,LFPG,78,,,J
20260330T091500Z_AY313_D_EFHK,D,AY313,departure,2026-03-30T12:15:00.000+03:00,AT75,,AY,EFHK,EFVA,35,,,J
20260330T091500Z_FR2345_D_EFHK,D,FR2345,departure,2026-03-30T12:15:00.000+03:00,B738,738,FR,EFHK,EGSS,0,,,J
20260330T092000Z_AY533_D_EFHK,D,AY533,departure,2026-03-30T12:20:00.000+03:00,A321,321,AY,EFHK,EFRO,135,,,J
20260330T092500Z_AY1079_D_EFHK,D,AY1079,departure,2026-03-30T12:25:00.000+03:00,AT75,,AY,EFHK,EVRA,43,,,J
20260330T092500Z_AY490_A_EFHK,A,AY490,arrival,2026-03-30T12:25:00.000+03:00,AT75,,AY,EFKS,EFHK,39,,12,J
20260330T093000Z_AY809_D_EFHK,D,AY809,departure,2026-03-30T12:30:00.000+03:00,B738,738,AY,EFHK,ESSA,0,,,J
20260330T093000Z_AY957_D_EFHK,D,AY957,departure,2026-03-30T12:30:00.000+03:00,E190,E90,AY,EFHK,EKCH,77,,,J
20260330T093500Z_AY019_D_EFHK,D,AY019,departure,2026-03-30T12:35:00.000+03:00,A359,359,AY,EFHK,KDFW,240,,,J
20260330T093500Z_AY437_D_EFHK,D,AY437,departure,2026-03-30T12:35:00.000+03:00,A320,320,AY,EFHK,EFOU,119,,,J
20260330T095000Z_VL2461_D_EFHK,D,VL2461,departure,2026-03-30T12:50:00.000+03:00,A20N,32N,VL,EFHK,EDDM,112,,,J
20260330T095500Z_AY285_D_EFHK,D,AY285,departure,2026-03-30T12:55:00.000+03:00,AT75,,AY,EFHK,EFJY,38,,,J
20260330T095500Z_AY808_A_EFHK,A,AY808,arrival,2026-03-30T12:55:00.000+03:00,A321,321,AY,ESSA,EFHK,112,,3,J
20260330T095500Z_SK708_A_EFHK,A,SK708,arrival,2026-03-30T12:55:00.000+03:00,AT76,,SK,ESSA,EFHK,37,,12,J
20260330T100000Z_AY1372_A_EFHK,A,AY1372,arrival,2026-03-30T13:00:00.000+03:00,A319,319,AY,EGPH,EFHK,72,,2,J
20260330T100000Z_AY1739_D_EFHK,D,AY1739,departure,2026-03-30T13:00:00.000+03:00,A321,321,AY,EFHK,LPPT,140,,,J
20260330T100500Z_AY1671_D_EFHK,D,AY1671,departure,2026-03-30T13:05:00.000+03:00,A321,321,AY,EFHK,LEMG,144,,,J
20260330T100500Z_KL1251_A_EFHK,A,KL1251,arrival,2026-03-30T13:05:00.000+03:00,A21N,32Q,KL,EHAM,EFHK,126,,6,J
20260330T100500Z_LH848_A_EFHK,A,LH848,arrival,2026-03-30T13:05:00.000+03:00,A320,320,LH,EDDF,EFHK,93,,12,J
20260330T101500Z_AY811_D_EFHK,D,AY811,departure,2026-03-30T13:15:00.000+03:00,E190,E90,AY,EFHK,ESSA,70,,,J
20260330T102000Z_AY1016_A_EFHK,A,AY1016,arrival,2026-03-30T13:20:00.000+03:00,AT75,,AY,EETN,EFHK,32,,12,J
20260330T102500Z_AY007_D_EFHK,D,AY007,departure,2026-03-30T13:25:00.000+03:00,A359,359,AY,EFHK,KMIA,244,,,J
20260330T102500Z_DY1190_A_EFHK,A,DY1190,arrival,2026-03-30T13:25:00.000+03:00,B738,738,DY,ENGM,EFHK,0,,3,J
20260330T102500Z_SK709_D_EFHK,D,SK709,departure,2026-03-30T13:25:00.000+03:00,AT76,,SK,EFHK,ESSA,44,,,J
20260330T104000Z_AY1782_A_EFHK,A,AY1782,arrival,2026-03-30T13:40:00.000+03:00,A320,320,AY,LIPZ,EFHK,92,,2,J
20260330T104500Z_AY1017_D_EFHK,D,AY1017,departure,2026-03-30T13:45:00.000+03:00,A319,319,AY,EFHK,EETN,93,,,J
20260330T105000Z_AY1047_D_EFHK,D,AY1047,departure,2026-03-30T13:50:00.000+03:00,AT75,,AY,EFHK,EETU,38,,,J
20260330T105000Z_LH849_D_EFHK,D,LH849,departure,2026-03-30T13:50:00.000+03:00,A320,320,LH,EFHK,EDDF,118,,,J
20260330T105500Z_DY1191_D_EFHK,D,DY1191,departure,2026-03-30T13:55:00.000+03:00,B738,738,DY,EFHK,ENGM,0,,,J
20260330T105500Z_KL1252_D_EFHK,D,KL1252,departure,2026-03-30T13:55:00.000+03:00,A21N,32Q,KL,EFHK,EHAM,159,,,J
20260330T110000Z_FI342_A_EFHK,A,FI342,arrival,2026-03-30T14:00:00.000+03:00,A21N,32Q,FI,BIKF,EFHK,130,,6,J
20260330T110000Z_HO1607_A_EFHK,A,HO1607,arrival,2026-03-30T14:00:00.000+03:00,B789,789,HO,ZSPD,EFHK,178,,3,J
20260330T110500Z_AY1335_D_EFHK,D,AY1335,departure,2026-03-30T14:05:00.000+03:00,A321,321,AY,EFHK,EGLL,147,,,J
20260330T110500Z_AY141_D_EFHK,D,AY141,departure,2026-03-30T14:05:00.000+03:00,A359,359,AY,EFHK,VTBS,256,,,J
20260330T111500Z_AY010_A_EFHK,A,AY010,arrival,2026-03-30T14:15:00.000+03:00,A333,333,AY,KORD,EFHK,186,,7,J
